repo	agent_role	path	domain	memory_tier	process_stream	size_bytes	mtime_utc
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/GATEWAY_ACCESS_CONTRACT.md	docs	long_term	contract_control	1348	2026-02-17T01:09:45Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/INTERACTION_PROTOCOL.md	docs	long_term	contract_control	11650	2026-02-16T07:56:51Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/SYSTEM_STATE_CONTRACT.md	docs	long_term	contract_control	1396	2026-02-12T22:50:10Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/WORKFLOW_SNAPSHOT_CONTRACT.md	docs	long_term	contract_control	3461	2026-02-12T22:50:10Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/.gitignore	other	long_term	general	4345	2026-02-13T08:16:40Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/LICENSE	other	long_term	general	1065	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/SYSTEM_STATE.md	docs	long_term	general	286	2026-02-12T22:50:10Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/TEST_MIRROR_MATRIX_2026-02-17.md	docs	long_term	general	794	2026-02-17T02:02:44Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/WORKFLOW_SNAPSHOT_STATE.md	docs	long_term	general	1184	2026-02-13T07:26:42Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/flash_brain.py	code	long_term	general	9598	2026-02-16T08:29:17Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/pyproject.toml	code	long_term	general	545	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/pytest.ini	code	long_term	general	58	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/requirements.txt	docs	long_term	general	26	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/run_tests_wsl.sh	code	long_term	general	279	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/start.py	code	long_term	general	536	2026-02-12T21:20:24Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/DEV_LOGS.md	docs	long_term	governance	1866	2026-02-17T02:01:40Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/README.md	docs	long_term	governance	1937	2026-02-17T02:01:22Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/ROADMAP.md	docs	long_term	governance	1206	2026-02-17T02:01:32Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/WB01_LAM_CODEX_AGENT_ANALYSIS_2026-02-17.md	docs	long_term	governance	714	2026-02-17T02:02:27Z
LAM-Codex_Agent	codex_core	LAM-Codex_Agent/src/codex_agent/core.py	code	operational	execution	2814	2026-02-12T21:20:24Z
