repo	path	domain	memory_tier	size_bytes	mtime_utc
.gitignore	.gitignore	other	long_term	39	2026-02-13T08:16:28Z
raw_index_verify.py	raw_index_verify.py	code	long_term	5499	2026-02-12T21:20:21Z
ARCHIVATOR_PROCESS_FLOW_GLOBAL_EXPANSION_2026-02-17.md	ARCHIVATOR_PROCESS_FLOW_GLOBAL_EXPANSION_2026-02-17.md	docs	long_term	2300	2026-02-17T02:19:25Z
segmenter_blocks.py	segmenter_blocks.py	code	long_term	16754	2026-02-12T21:20:21Z
consistency_check.py	consistency_check.py	code	long_term	4669	2026-02-12T21:20:21Z
SUBTREE_REGISTRY_CONTRACT.md	SUBTREE_REGISTRY_CONTRACT.md	docs	long_term	761	2026-02-17T01:31:47Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-004_autonomous_engine_resilience.docx	other	long_term	7384	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks017_web_gateway_dashboard.md.txt	docs	long_term	2984	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/Code_tsts&upgrd.txt	docs	long_term	27548	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks009_docker_devcontainer.md.txt	docs	long_term	2135	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/Core_UP(K)_MEMARCHIVE.txt	docs	long_term	86881	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks014_security_dependency_scan.md.txt	docs	long_term	1125	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-006_documentation_architecture.docx	other	long_term	7217	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/lamconsciousnesscore.py.txt	docs	long_term	3268	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks010_continuous_deployment.md.txt	docs	long_term	1407	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-003_ethics_rule_engine.docx	other	long_term	7424	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks0019_task_manager.md.txt	docs	long_term	4152	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/desktop.ini	code	long_term	104	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks016_docker_mvp_run.md.txt	docs	long_term	2166	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks015_conscious_loop.md.txt	docs	long_term	4086	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks011_performance_profiling.md.txt	docs	long_term	1460	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks00001_fix_manager.md.txt	docs	long_term	4266	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-007_style_quality_precommit.docx	other	long_term	7162	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-002_semantic_memory_vectorstore.docx	other	long_term	7558	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-005_cli_expansion.docx	other	long_term	7217	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-008_config_security.docx	other	long_term	7299	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/┌─ -file- tasks-001_testing_ci.docx	other	long_term	7704	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks020_desktop_electron.md.txt	docs	long_term	4766	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_RAM/file tasks012_web_dashboard.md.txt	docs	long_term	1376	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/desktop.ini	code	long_term	104	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_DEISTRUCT/Semantic_Tone_Deviations/INT.SEM.ERR.Δ.01.txt	docs	long_term	3535	2026-02-12T21:20:21Z
SourceChats	SourceChats/LAM/LAM_DEISTRUCT/Semantic_Tone_Deviations/desktop.ini	code	long_term	104	2026-02-12T21:20:21Z
